period,channel,studio,xlsx_file,paired_pdf_present,line_count,declared_total_eur,computed_total_eur,difference_eur,validation,parser_family,notes
2026-02,Canal Orange,PURE PASSION,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/canal-orange/report_PURE PASSION NMG_CanalPlay_2026_02.xlsx,yes,9,29.77,29.770,0.000,passed,xlsx_hpg_canal,
2026-02,Canal Orange,RAW ATTACK,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/canal-orange/report_RAW ATTACK NMG_CanalPlay_2026_02.xlsx,yes,8,28.225,28.225,0.000,passed,xlsx_hpg_canal,
2026-02,Canal Orange,TEAM SKEET,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/canal-orange/report_TEAM SKEET NMG_CanalPlay_2026_02.xlsx,yes,11,74.225,74.225,0.000,passed,xlsx_hpg_canal,
2026-02,Canal Orange,TRUEX,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/canal-orange/report_TRUEX NMG_CanalPlay_2026_02.xlsx,yes,3,3.615,3.615,0.000,passed,xlsx_hpg_canal,
2026-02,Netgem,CRAVE,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/netgem/report_CRAVE NMG_Netgem_2026_02.xlsx,yes,1,1.39,1.39,0.00,passed,xlsx_hpg_netgem,
2026-02,Netgem,NUBILE FILMS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/netgem/report_NUBILE FILMS NMG_Netgem_2026_02.xlsx,yes,3,32.055,32.055,0.000,passed,xlsx_hpg_netgem,
2026-02,Netgem,TEAM SKEET,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/netgem/report_TEAM SKEET NMG_Netgem_2026_02.xlsx,no,1,3.83,3.83,0.00,passed,xlsx_hpg_netgem,Paired PDF missing.
2026-02,Proximus,CRAVE,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/proximus/report_CRAVE NMG_Proximus_2026_02.xlsx,yes,2,14.385,14.385,0.000,passed,xlsx_hpg_proximus,
2026-02,Proximus,FILTHY KINGS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/proximus/report_FILTHY KINGS NMG_Proximus_2026_02.xlsx,yes,4,5.295,5.295,0.000,passed,xlsx_hpg_proximus,
2026-02,Proximus,GROOBY,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/proximus/report_GROOBY NMG_Proximus_2026_02.xlsx,yes,8,12.715,12.715,0.000,passed,xlsx_hpg_proximus,
2026-02,Proximus,MATURE XXX,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/proximus/report_MATURE XXX NMG_Proximus_2026_02.xlsx,yes,6,27.8,27.800,0.000,passed,xlsx_hpg_proximus,
2026-02,Proximus,MYLF,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/proximus/report_MYLF NMG_Proximus_2026_02.xlsx,yes,8,68.045,68.045,0.000,passed,xlsx_hpg_proximus,
2026-02,Proximus,NUBILE FILMS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/proximus/report_NUBILE FILMS NMG_Proximus_2026_02.xlsx,yes,12,48.71,48.710,0.000,passed,xlsx_hpg_proximus,
2026-02,Proximus,PORNSTAR PLATINIUM,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/proximus/report_PORNSTAR PLATINIUM NMG_Proximus_2026_02.xlsx,yes,8,27.98,27.980,0.000,passed,xlsx_hpg_proximus,
2026-02,Proximus,PURE PASSION,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/proximus/report_PURE PASSION NMG_Proximus_2026_02.xlsx,yes,8,69.985,69.985,0.000,passed,xlsx_hpg_proximus,
2026-02,Proximus,RAW ATTACK,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/proximus/report_RAW ATTACK NMG_Proximus_2026_02.xlsx,yes,12,58.255,58.255,0.000,passed,xlsx_hpg_proximus,
2026-02,Proximus,TEAM SKEET,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/proximus/report_TEAM SKEET NMG_Proximus_2026_02.xlsx,yes,12,68.485,68.485,0.000,passed,xlsx_hpg_proximus,
2026-02,Proximus,TRUEX,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/proximus/report_TRUEX NMG_Proximus_2026_02.xlsx,yes,8,41.48,41.480,0.000,passed,xlsx_hpg_proximus,
2026-02,Proximus,VISION FILMS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/proximus/report_VISION FILMS NMG_Proximus_2026_02.xlsx,yes,4,21.62,21.620,0.000,passed,xlsx_hpg_proximus,
