workspace_path,file_name,vendor_id,vendor,parser_family,processing_role,expected_action,sha256,hash_match,parser_function,classified_parser_family,classification_status,classifier_confidence,mapping_match,report_status,review_required,validation_status,record_count,posting_count,line_item_count,normalized_total,currency,schema_failed_count,failed_checks,error
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\netgem\report_RAW ATTACK NMG_Netgem_2026_01.xlsx,report_RAW ATTACK NMG_Netgem_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_netgem,primary_source,,bc1bb1734fbcd0dc540b3a8f1365e50101e968fa4f404003c315c65528be2c85,yes,parseHpgWorkbook,xlsx_hpg_netgem,matched_manifest,1.0,yes,review,true,warning,6,1,5,15.665,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\netgem\report_TEAM SKEET NMG_Netgem_2026_01.xlsx,report_TEAM SKEET NMG_Netgem_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_netgem,primary_source,,f67c68f8526517ac98a1d9ecb6014f48e68072efd484cdf5293078a4692df799,yes,parseHpgWorkbook,xlsx_hpg_netgem,matched_manifest,1.0,yes,review,true,warning,4,1,3,28.395,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\netgem\report_TRUEX NMG_Netgem_2026_01.xlsx,report_TRUEX NMG_Netgem_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_netgem,primary_source,,0c48a6113429e5e96a4a5204ee6b83c79a1503db8e6839fb005abccaf9d51722,yes,parseHpgWorkbook,xlsx_hpg_netgem,matched_manifest,1.0,yes,review,true,warning,3,1,2,2.65,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\proximus\report_CRAVE NMG_Proximus_2026_01.xlsx,report_CRAVE NMG_Proximus_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_proximus,primary_source,,dcf84ed053b1a3c72d8b0e390475c8e2f315ba866474222a5533420febdfcefe,yes,parseHpgWorkbook,xlsx_hpg_proximus,matched_manifest,1.0,yes,review,true,warning,3,1,2,37.065,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\proximus\report_FILTHY KINGS NMG_Proximus_2026_01.xlsx,report_FILTHY KINGS NMG_Proximus_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_proximus,primary_source,,81ad3e1586c4cbb8f11e4f622d28e668a05b8ab24e8be9ca8c127a6841cb2171,yes,parseHpgWorkbook,xlsx_hpg_proximus,matched_manifest,1.0,yes,review,true,warning,5,1,4,5.12,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\proximus\report_GROOBY NMG_Proximus_2026_01.xlsx,report_GROOBY NMG_Proximus_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_proximus,primary_source,,8fed570ff889f74f0d5290843981e38a7a0c9a9d407d57c95d34a76706657256,yes,parseHpgWorkbook,xlsx_hpg_proximus,matched_manifest,1.0,yes,review,true,warning,9,1,8,38.48,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\proximus\report_MATURE XXX NMG_Proximus_2026_01.xlsx,report_MATURE XXX NMG_Proximus_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_proximus,primary_source,,87b08f3e68f958f0df4f0c03a864c9da92c3deed6da4c6cea076629ee97fbef0,yes,parseHpgWorkbook,xlsx_hpg_proximus,matched_manifest,1.0,yes,review,true,warning,7,1,6,43.86,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\proximus\report_MYLF NMG_Proximus_2026_01.xlsx,report_MYLF NMG_Proximus_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_proximus,primary_source,,6fd97c8ea320a6e53297ae1ce15c1910d8efe7f7a0344cd179cf69a1f564acab,yes,parseHpgWorkbook,xlsx_hpg_proximus,matched_manifest,1.0,yes,review,true,warning,4,1,3,44.48,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\proximus\report_NUBILE FILMS NMG_Proximus_2026_01.xlsx,report_NUBILE FILMS NMG_Proximus_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_proximus,primary_source,,4a9644cb317e3947fc632c3d3ef65c9adffc618d589a103499ed743964c8533a,yes,parseHpgWorkbook,xlsx_hpg_proximus,matched_manifest,1.0,yes,review,true,warning,9,1,8,29.03,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\proximus\report_PORNSTAR PLATINIUM NMG_Proximus_2026_01.xlsx,report_PORNSTAR PLATINIUM NMG_Proximus_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_proximus,primary_source,,334589556f52bfb420eff93671a1a92a908265f21c0112dbf789db10cbdd9678,yes,parseHpgWorkbook,xlsx_hpg_proximus,matched_manifest,1.0,yes,review,true,warning,5,1,4,59.835,EUR,0,,
